id,value
arg_1,arguments
arg_2,"premisses: L'Ukraine moderne a été créée artificiellement par la Russie bolchevique (transferts de territoires, 1917-1954, dont la Crimée). conclusion: L'Ukraine est en grande partie une entité artificielle et historiquement liée à la Russie ; cela légitime des revendications historiques et culturelles russes sur ces territoires."
arg_3,"premisses: Les frontières et droits des républiques soviétiques (droit de secession) introduites par Lénine et les politiques ultérieures ont affaibli l'unité de l'État, créant un 'mine' de nationalisme; erreurs historiques des bolcheviks et du PCUS ont conduit à la dissolution de l'URSS. conclusion: La responsabilité de l'effondrement de l'URSS et de l'émergence de l'Ukraine indépendante incombe principalement aux dirigeants bolcheviques et au PCUS, pas aux peuples actuels."
arg_4,"premisses: Après 1991, la Russie a soutenu économiquement l'Ukraine (subventions, prêts, reprise des dettes, appels non honorés sur actifs), tandis que l'Ukraine a agi comme 'parasite' (blackmail énergétique, vol de gaz, ne respectant pas obligations). conclusion: La Russie a été généreuse et respectueuse mais l'Ukraine a profité et s'est conduite de manière ingrate/criminelle, justifiant la colère et des mesures russes."
arg_5,"premisses: Depuis les années 1990 et surtout après 2014, l'Ukraine a connu une montée du nationalisme, néo-nazisme et russophobie; les autorités ont persécuté opposants et la société est divisée; Maidan 2014 fut un coup d'État aidé par l'étranger; incidences: violences, Odessa, impunité. conclusion: Le régime ukrainien est illégitime, radical, et constitue une menace pour les populations russophones et pour la stabilité régionale."
arg_6,"premisses: L'OTAN et les États-Unis ont promis de ne pas étendre l'OTAN à l'est (1990 assurances) mais ont ensuite étendu l'OTAN en plusieurs vagues, intégrant des pays frontaliers; l'OTAN déploie infrastructures et armes (bases, radars, missiles), et Ukraine aspire à rejoindre l'OTAN. conclusion: L'expansion de l'OTAN constitue une violation des promesses et une menace directe pour la sécurité de la Russie, légitimant une réponse russe pour se protéger."
arg_7,arguments
arg_8,arguments
arg_9,arguments
arg_10,"arg_2: premisses: L'Ukraine moderne a été créée artificiellement par la Russie bolchevique (transferts de territoires, 1917-1954, dont la Crimée). conclusion: L'Ukraine est en grande partie une entité artificielle et historiquement liée à la Russie ; cela légitime des revendications historiques et culturelles russes sur ces territoires."
