id,value
arg_1,"premisses: Le peuple allemand a souffert pendant des décennies (sang versé, émigration, humiliations); la réunification (Anschluss et Sudètes) a réalisé les aspirations historiques du Volk; beaucoup ont lutté et sacrifié pour cela. conclusion: Les annexions et l’unité allemande sont justifiées et légitimes; ceux qui s’en attribuent tardivement le mérite ou la critiquent sont indignes."
arg_2,"premisses: La mobilisation et les préparatifs militaires allemands étaient une réponse aux provocations (p.ex. mobilisations et actions de Beneš) et à la persécution des Allemands en Tchécoslovaquie; des actions diplomatiques (Mussolini, Chamberlain, Daladier) ont permis une résolution pacifique. conclusion: L’intervention allemande en Autriche et dans les Sudètes/Silésie était défensive, nécessaire et pacifique, non une agression."
arg_3,"premisses: La démocratie et la liberté individuelle mènent à la désorganisation et au gaspillage des forces; l’obéissance et la discipline mobilisent les forces nécessaires pour la survie nationale; le leadership doit être choisi selon des critères raciaux et moraux (attitude, courage) plutôt que par qualifications scientifiques. conclusion: Le régime national-socialiste et sa hiérarchie raciale/disciplinaire sont supérieurs et nécessaires pour le salut et le progrès de la nation."
arg_4,"premisses: L’Allemagne souffre de surpopulation et manque de Lebensraum; importer nourriture nécessite exporter biens et ressources, menant à une spirale; l’expansion de Lebensraum domestique résoudrait le problème. conclusion: L’expansion territoriale (Lebensraum) est une nécessité économique pour la survie allemande et justifie des politiques expansionnistes."
arg_5,"premisses: L’« international Jewry » contrôle la presse, l’argent, et pousse à la guerre et à l’hostilité contre l’Allemagne; les démocraties tolèrent ou soutiennent ces actions; l’antisémitisme est présenté comme une réponse aux torts passés (inflation, expropriation). conclusion: Les Juifs sont l’ennemi intérieur et extérieur à éliminer/purger; leur influence justifie des mesures radicales contre eux."
arg_6,arguments
arg_7,"premisses: Le peuple allemand a souffert pendant des décennies (sang versé, émigration, humiliations) et a longtemps désiré l’unité; les événements de 1938 réalisent ce désir; beaucoup se sacrifient pour cette cause. conclusion: Les annexions (Anschluss, Sudètes) sont moralement et historiquement justifiées; les critiques tardives sont illégitimes."
arg_8,"premisses: Des provocations et mobilisations par Beneš et d'autres cercles étrangers ont mis en péril la paix; l'Allemagne n'avait pas mobilisé; la protection des minorités allemandes était nécessaire. conclusion: L'intervention militaire allemande en Tchécoslovaquie et l'annexion des Sudètes étaient défensives, nécessaires et légitimes."
arg_9,"premisses: La démocratie et la liberté individuelle entraînent désorganisation, gaspillage des forces, et paralysie; discipline et obéissance mobilisent la volonté nationale; le leadership doit privilégier l'attitude/race/courage sur la compétence scientifique. conclusion: Le régime national-socialiste, son ordre discipliné et la sélection raciale du leadership sont nécessaires pour la survie et la prospérité du Volk."
arg_10,"premisses: L'Allemagne est surpeuplée et manque de Lebensraum; importer nourriture oblige à exporter biens et ressources, conduisant à une spirale qui ne résout pas le problème; l'expansion territoriale domestique garantirait la sécurité alimentaire. conclusion: L'expansion (Lebensraum) est économiquement nécessaire et justifie des politiques d'expansion."
arg_11,"premisses: Les Juifs et l'‘international Jewry’ contrôlent presse, finance, et cherchent à provoquer la guerre; les démocraties tolèrent ou participent à cette propagande; les Juifs ont causé des torts passés (inflation, expropriation). conclusion: Les Juifs sont un ennemi intérieur et extérieur, justifiant des mesures radicales, expulsions et élimination de leur influence."
arg_12,arguments
arg_13,"premisses: Le peuple allemand a souffert pendant des décennies (sang versé, exils, humiliations); l’unification récente (Anschluss, Sudètes) réalise des aspirations historiques profondes; certains cherchent tardivement à s’approprier ce succès. conclusion: Les annexions et l’unité allemande sont légitimes et justifient la fierté nationale; les critiques tardives sont infondées et indignes."
arg_14,"premisses: L’ancien président tchécoslovaque Beneš a encouragé la mobilisation et les rumeurs de mobilisation; des Allemands dans les Sudètes ont été persécutés; des tentatives diplomatiques n’ont pas empêché le risque d’anarchie. conclusion: L’intervention/marche des troupes allemandes en mars 1938 était une mesure défensive, nécessaire et légitime pour protéger les Allemands de Bohême-Moravie."
arg_15,"premisses: La démocratie et la liberté individuelle produisent désorganisation et gaspillage; une communauté populaire disciplinée (Volksgemeinschaft) permet une mobilisation efficace; le leadership doit privilégier attitude, courage et origine raciale plutôt que seulement qualification scientifique. conclusion: Le régime national-socialiste, avec son leadership racial et discipliné, est nécessaire pour le salut et le progrès de la nation."
arg_16,"premisses: L’Allemagne souffre de surpopulation relative et manque de Lebensraum; importer de la nourriture exige exporter des biens, ce qui épuise des matières premières et crée une spirale; une expansion territoriale domestique résoudrait économiquement le problème. conclusion: L’expansion territoriale (Lebensraum) est économiquement nécessaire et justifie des politiques d’acquisition territoriale."
arg_17,"premisses: Les Juifs et l’«international Jewry» contrôlent médias, finance et cherchent vengeance/profits; les démocraties tolèrent ou propagent cette influence; les Juifs ont causé ont causé l’inflation et l’appauvrissement de l’Allemagne après la Première Guerre mondiale. conclusion: Les Juifs constituent un ennemi intérieur et extérieur; des mesures radicales contre eux sont justifiées."
